feature,family,point_in_time,n_unique
vman_name_len,vman (manifeste de la version),True,62
vman_name_ent,vman (manifeste de la version),True,733
vman_version_len,vman (manifeste de la version),True,47
vman_version_ent,vman (manifeste de la version),True,213
vman_description_len,vman (manifeste de la version),True,164
vman_description_ent,vman (manifeste de la version),True,1763
vman_main_len,vman (manifeste de la version),True,37
vman_main_ent,vman (manifeste de la version),True,127
vman_license_len,vman (manifeste de la version),True,41
vman_license_ent,vman (manifeste de la version),True,117
vman_scripts_dict_size,vman (manifeste de la version),True,31
vman_scripts_nested,vman (manifeste de la version),True,1
vman__id_len,vman (manifeste de la version),True,85
vman__id_ent,vman (manifeste de la version),True,859
vman_dist_dict_size,vman (manifeste de la version),True,4
vman_dist_nested,vman (manifeste de la version),True,2
vman_directories_dict_size,vman (manifeste de la version),True,6
vman_directories_nested,vman (manifeste de la version),True,1
vman_maintainers_list_size,vman (manifeste de la version),True,32
pit_ver_len,pit (reconstruite a t_p),True,47
pit_ver_n_components,pit (reconstruite a t_p),True,6
pit_ver_has_prerelease,pit (reconstruite a t_p),True,2
pit_ver_is_zero_major,pit (reconstruite a t_p),True,2
pit_ver_is_initial,pit (reconstruite a t_p),True,2
pit_ver_max_component,pit (reconstruite a t_p),True,491
pit_ver_entropy,pit (reconstruite a t_p),True,213
pit_n_prior_releases,pit (reconstruite a t_p),True,535
pit_days_since_first,pit (reconstruite a t_p),True,3180
pit_days_since_prev,pit (reconstruite a t_p),True,3179
pit_releases_30d,pit (reconstruite a t_p),True,232
pit_releases_365d,pit (reconstruite a t_p),True,479
pit_median_gap_days,pit (reconstruite a t_p),True,2263
pit_std_gap_days,pit (reconstruite a t_p),True,2583
pit_name_len,pit (reconstruite a t_p),True,62
pit_name_entropy,pit (reconstruite a t_p),True,733
pit_name_has_scope,pit (reconstruite a t_p),True,2
pit_name_n_hyphens,pit (reconstruite a t_p),True,10
pit_name_n_digits,pit (reconstruite a t_p),True,11
pit_name_n_dots,pit (reconstruite a t_p),True,5
pit_n_dependencies,pit (reconstruite a t_p),True,54
pit_n_dev_dependencies,pit (reconstruite a t_p),True,53
pit_n_peer_dependencies,pit (reconstruite a t_p),True,13
pit_n_scripts,pit (reconstruite a t_p),True,31
pit_has_install_hook,pit (reconstruite a t_p),True,2
pit_scripts_total_len,pit (reconstruite a t_p),True,377
pit_scripts_max_len,pit (reconstruite a t_p),True,171
pit_description_len,pit (reconstruite a t_p),True,191
pit_description_entropy,pit (reconstruite a t_p),True,1794
pit_n_keywords,pit (reconstruite a t_p),True,30
pit_has_license,pit (reconstruite a t_p),True,2
pit_license_len,pit (reconstruite a t_p),True,81
pit_has_repository,pit (reconstruite a t_p),True,2
pit_has_homepage,pit (reconstruite a t_p),True,2
pit_has_bugs_url,pit (reconstruite a t_p),True,2
pit_n_maintainers,pit (reconstruite a t_p),True,35
pit_author_email_domain_score,pit (reconstruite a t_p),True,3
pit_has_engines,pit (reconstruite a t_p),True,2
pit_has_files_field,pit (reconstruite a t_p),True,2
pit_n_classifiers,pit (reconstruite a t_p),True,27
pit_requires_python_len,pit (reconstruite a t_p),True,20
pit_long_description_len,pit (reconstruite a t_p),True,786
cur_n_versions_now,cur (etat actuel du registre),False,284
cur_n_releases_now,cur (etat actuel du registre),False,332
cur_n_maintainers_now,cur (etat actuel du registre),False,23
cur_readme_len_now,cur (etat actuel du registre),False,1372
cur_days_since_modified,cur (etat actuel du registre),False,342
cur_project_url_len_now,cur (etat actuel du registre),False,45
cur_description_len_now,cur (etat actuel du registre),False,816
cur_homepage_len_now,cur (etat actuel du registre),False,66
vman_author_dict_size,vman (manifeste de la version),True,4
vman_author_nested,vman (manifeste de la version),True,1
vman_devDependencies_dict_size,vman (manifeste de la version),True,41
vman_devDependencies_nested,vman (manifeste de la version),True,1
vman_bin_dict_size,vman (manifeste de la version),True,10
vman_bin_nested,vman (manifeste de la version),True,1
vman_dependencies_dict_size,vman (manifeste de la version),True,37
vman_dependencies_nested,vman (manifeste de la version),True,1
vman_peerDependencies_dict_size,vman (manifeste de la version),True,13
vman_peerDependencies_nested,vman (manifeste de la version),True,1
vman_gitHead_len,vman (manifeste de la version),True,2
vman_gitHead_ent,vman (manifeste de la version),True,436
vman_keywords_list_size,vman (manifeste de la version),True,29
vman_homepage_len,vman (manifeste de la version),True,77
vman_homepage_ent,vman (manifeste de la version),True,586
vman_bugs_dict_size,vman (manifeste de la version),True,2
vman_bugs_nested,vman (manifeste de la version),True,1
vman_tsup_dict_size,vman (manifeste de la version),True,4
vman_tsup_nested,vman (manifeste de la version),True,2
vman_types_len,vman (manifeste de la version),True,29
vman_types_ent,vman (manifeste de la version),True,91
vman_engines_dict_size,vman (manifeste de la version),True,3
vman_engines_nested,vman (manifeste de la version),True,1
vman_repository_dict_size,vman (manifeste de la version),True,4
vman_repository_nested,vman (manifeste de la version),True,1
vman_exports_dict_size,vman (manifeste de la version),True,24
vman_exports_nested,vman (manifeste de la version),True,2
vman_type_len,vman (manifeste de la version),True,4
vman_type_ent,vman (manifeste de la version),True,4
vman_nodemonConfig_dict_size,vman (manifeste de la version),True,2
vman_nodemonConfig_nested,vman (manifeste de la version),True,2
vman_publishConfig_dict_size,vman (manifeste de la version),True,5
vman_publishConfig_nested,vman (manifeste de la version),True,1
vman_c8_dict_size,vman (manifeste de la version),True,3
vman_c8_nested,vman (manifeste de la version),True,2
vman_module_len,vman (manifeste de la version),True,31
vman_module_ent,vman (manifeste de la version),True,93
vman_peerDependenciesMeta_dict_size,vman (manifeste de la version),True,11
vman_peerDependenciesMeta_nested,vman (manifeste de la version),True,2
vman_author_len,vman (manifeste de la version),True,51
vman_author_ent,vman (manifeste de la version),True,272
vman_packageManager_len,vman (manifeste de la version),True,6
vman_packageManager_ent,vman (manifeste de la version),True,12
vman_exports_len,vman (manifeste de la version),True,4
vman_exports_ent,vman (manifeste de la version),True,4
vman_openclaw_dict_size,vman (manifeste de la version),True,3
vman_openclaw_nested,vman (manifeste de la version),True,2
vman__schema_len,vman (manifeste de la version),True,2
vman__schema_ent,vman (manifeste de la version),True,2
vman_contributors_list_size,vman (manifeste de la version),True,7
vman_funding_len,vman (manifeste de la version),True,14
vman_funding_ent,vman (manifeste de la version),True,17
vman_sideEffects_bool,vman (manifeste de la version),True,2
vman_os_list_size,vman (manifeste de la version),True,4
vman_cpu_list_size,vman (manifeste de la version),True,3
