package,version,ecosystem,group_id,split
tinkoff-statist-browser-typed-client-sme.rko.ta.ios.events,20.6.1,npm,"('mnt', '2qhr3qcowb44')",train
redis-type-xyz,1.10.6,npm,"('mnt', 'qmtijao982')",train
@weirdorg/config,1.0.3,npm,"('mnt', 'chen1567851')",train
bandkit,1.0.7,npm,"('mnt', 'rangekit')",train
bandkit,1.0.9,npm,"('mnt', 'rangekit')",train
bandkit,1.0.10,npm,"('mnt', 'rangekit')",train
bandkit,1.0.11,npm,"('mnt', 'rangekit')",train
bandkit,1.0.16,npm,"('mnt', 'rangekit')",train
bandkit,1.0.14,npm,"('mnt', 'rangekit')",train
shiroai,2.0.6,npm,"('mnt', 'shiroai')",train
shiroai,2.1.0,npm,"('mnt', 'shiroai')",train
shiroai,2.0.4,npm,"('mnt', 'shiroai')",train
shiroai,2.2.0,npm,"('mnt', 'shiroai')",train
shiroai,2.0.7,npm,"('mnt', 'shiroai')",train
shiroai,2.0.5,npm,"('mnt', 'shiroai')",train
requestor-util,99.9.1,npm,"('mnt', 'whltd4')",train
santana-baileys,2.0.4,npm,"('mnt', 'blurrydespair')",train
santana-baileys,2.0.2,npm,"('mnt', 'blurrydespair')",train
santana-baileys,2.0.3,npm,"('mnt', 'blurrydespair')",train
ac_semantic-ui_ts,99.99.100,npm,"('mnt', 'nirox')",train
bnpl-molecule-mobile-bnpl-onboarding,35.7.8,npm,"('mnt', '12sosemsoiza')",train
@ikyyofc/gemini-cli,4.0.6,npm,"('mnt', 'ikyyofc')",train
@ikyyofc/gemini-cli,5.0.2,npm,"('mnt', 'ikyyofc')",train
@ikyyofc/gemini-cli,3.0.6,npm,"('mnt', 'ikyyofc')",train
@ikyyofc/gemini-cli,4.0.3,npm,"('mnt', 'ikyyofc')",train
@ikyyofc/gemini-cli,3.0.1,npm,"('mnt', 'ikyyofc')",train
@ikyyofc/gemini-cli,5.0.1,npm,"('mnt', 'ikyyofc')",train
@ikyyofc/gemini-cli,4.0.8,npm,"('mnt', 'ikyyofc')",train
@ikyyofc/gemini-cli,5.0.0,npm,"('mnt', 'ikyyofc')",train
@ikyyofc/gemini-cli,4.0.5,npm,"('mnt', 'ikyyofc')",train
