budget,k,val_auc_roc,val_au_pr,val_au_pr_baseline
3,3,0.9460381546016904,0.979106771842554,0.7211093990755008
5,5,0.9612079142465884,0.9858854970647686,0.7211093990755008
8,8,0.9724701326911271,0.9904769402420178,0.7211093990755008
10,10,0.9866010294187089,0.9950510998195188,0.7211093990755008
12,12,0.9871794871794872,0.9950810813652822,0.7211093990755008
15,15,0.9885134816074042,0.9955834696513255,0.7211093990755008
18,18,0.9883245974406195,0.9955329894789486,0.7211093990755008
25,25,0.988985692024366,0.995885805531774,0.7211093990755008
30,26,0.9906148179628843,0.9964349626641293,0.7211093990755008
40,26,0.9906148179628843,0.9964349626641293,0.7211093990755008
40,40,0.9923265807243707,0.9971663480899396,0.7211093990755008
