k,auc_roc,au_pr
1,0.6955388256437853,0.8222136284393279
2,0.9361230258036539,0.9662473732080004
3,0.9262122074950238,0.9615896568198632
5,0.945268459356241,0.9774446033609707
8,0.9566290679024277,0.9838629783481427
10,0.9610855402362506,0.9864507123278021
15,0.9749486695888866,0.9916245838054236
18,0.9687315510926978,0.9892020058937361
25,0.9721640274389128,0.9905972601353561
40,0.9743948758404865,0.9909749594022805
80,0.9810821965758828,0.9932728703040925
456,0.9794051419227093,0.992714415504141
