feature_set,budget,auc_roc,au_pr,recall_at_threshold
free,0,0.9761659709415016,0.9917873421517993,0.5369030390738061
free,1,0.9821741106647093,0.9935937825958882,0.6280752532561505
free,2,0.9561980491831541,0.983674915737593,0.5151953690303908
free,3,0.9482516313405467,0.9806904422281963,0.5007235890014472
free,4,0.9319826338639653,0.9750773477538497,0.4211287988422576
free,5,0.9261939218523878,0.9719610184568905,0.21852387843704776
free,6,0.9266954709075426,0.9723541573897345,0.2706222865412446
free,7,0.9289106459011426,0.9732429970422738,0.2865412445730825
free,8,0.9201753331905312,0.9699233172822176,0.2575976845151954
free,9,0.9155934735929199,0.9679708275127159,0.22575976845151954
free+costly,0,0.9761659709415016,0.9917873421517993,0.5369030390738061
free+costly,1,0.9821741106647093,0.9935937825958882,0.6280752532561505
free+costly,2,0.9561980491831541,0.983674915737593,0.5151953690303908
free+costly,3,0.9482516313405467,0.9806904422281963,0.5007235890014472
free+costly,4,0.9319826338639653,0.9750773477538497,0.4211287988422576
free+costly,5,0.9261939218523878,0.9719610184568905,0.21852387843704776
free+costly,6,0.9266954709075426,0.9723541573897345,0.2706222865412446
free+costly,7,0.9289106459011426,0.9732429970422738,0.2865412445730825
free+costly,8,0.9201753331905312,0.9699233172822176,0.2575976845151954
free+costly,9,0.9155934735929199,0.9679708275127159,0.22575976845151954
free+costly,10,0.8898420642923195,0.9508183971274187,0.0
free+costly,11,0.8455124420736964,0.8977147377381787,0.0
free+costly,12,0.8474559446624208,0.8971853860724538,0.0
free+costly,13,0.8247190541620735,0.8963310810339493,0.0
