manuscript_name,actual_feature_name
info_version_str_len,legacy_ver_version_str_len
pkg_releases_dict_size,legacy_pkg_releases_dict_size
author_email_domain_score,legacy_info_author_email_str_len / pit_author_email_domain_score
info_summary_str_len,legacy_info_summary_str_len
has_development_dependencies,legacy_ver_devDependencies_dict_size
dependency_depth,legacy_ver_dependencies_dict_size
ver_requires_python_specificity,legacy_info_requires_dist_list_size
pkg_versions_dict_size,legacy_pkg_version_count
license_type_complexity,legacy_ver_license_str_len
maintainer_count,legacy_pkg_maintainers_list_size
